Match Runs,Match SR,Total Runs,Total Balls,Ave,Career SR,HS,NO,0,50,100,Opposition,Ground,match_id,player_id,m1,m2,m3,m4,m5
1.0,50.00,6205.0,7420,38.78,83.63,137.0,16,8,39,13,Zimbabwe,Cuttack,1311,35320,1.0,41.0,8.0,5.0,100.0
15.0,62.50,6206.0,7444,38.63,83.57,137.0,16,8,39,13,Australia,Delhi,1316,35320,41.0,8.0,5.0,100.0,1.0
40.0,97.56,6221.0,7485,38.64,83.64,137.0,16,8,39,13,New Zealand,Sharjah,1319,35320,8.0,5.0,100.0,1.0,15.0
80.0,111.11,6261.0,7557,38.9,83.90,137.0,16,8,39,13,Australia,Sharjah,1322,35320,5.0,100.0,1.0,15.0,40.0
38.0,65.51,6341.0,7615,38.89,83.76,137.0,16,8,40,13,New Zealand,Sharjah,1323,35320,100.0,1.0,15.0,40.0,80.0
143.0,109.16,6379.0,7746,39.52,84.19,143.0,16,8,40,13,Australia,Sharjah,1325,35320,1.0,15.0,40.0,80.0,38.0
134.0,102.29,6522.0,7877,40.09,84.49,143.0,16,8,40,14,Australia,Sharjah,1327,35320,15.0,40.0,80.0,38.0,143.0
33.0,113.79,6656.0,7906,40.05,84.60,143.0,16,8,40,15,Bangladesh,Mumbai,1335,35320,40.0,80.0,38.0,143.0,134.0
18.0,72.00,6689.0,7931,39.92,84.56,143.0,16,8,40,15,Kenya,Gwalior,1336,35320,80.0,38.0,143.0,134.0,33.0
100.0,97.08,6707.0,8034,40.51,84.72,143.0,16,8,40,15,Kenya,Kolkata,1337,35320,38.0,143.0,134.0,33.0,18.0
65.0,130.00,6807.0,8084,40.66,85.00,143.0,17,8,40,16,Sri Lanka,Colombo (RPS),1338,35320,143.0,134.0,33.0,18.0,100.0
53.0,147.22,6872.0,8120,40.73,85.28,143.0,17,8,41,16,New Zealand,Colombo (RPS),1340,35320,134.0,33.0,18.0,100.0,65.0
17.0,106.25,6925.0,8136,40.59,85.32,143.0,17,8,42,16,Sri Lanka,Colombo (SSC),1341,35320,33.0,18.0,100.0,65.0,53.0
128.0,97.70,6942.0,8267,41.1,85.52,143.0,17,8,42,16,Sri Lanka,Colombo (RPS),1344,35320,18.0,100.0,65.0,53.0,17.0
77.0,70.64,7070.0,8376,41.31,85.32,143.0,17,8,42,17,Pakistan,Toronto,1353,35320,100.0,65.0,53.0,17.0,128.0
127.0,97.69,7147.0,8506,42.04,85.51,143.0,17,8,43,17,Zimbabwe,Bulawayo,1354,35320,65.0,53.0,17.0,128.0,77.0
