Match Runs,Total Runs,Ave,Career SR,HS,Opposition,Ground,m1,m2,m3,m4,m5,Records,class
29.0,7274.0,41.97,85.64,143.0,Zimbabwe,Bulawayo,53.0,17.0,128.0,77.0,127.0,840,2.0
2.0,7303.0,41.74,85.6,143.0,Zimbabwe,Harare,17.0,128.0,77.0,127.0,29.0,840,1.0
141.0,7305.0,42.3,85.97,143.0,Australia,Dhaka,128.0,77.0,127.0,29.0,2.0,840,6.0
8.0,7446.0,42.11,85.92,143.0,West Indies,Dhaka,77.0,127.0,29.0,2.0,141.0,860,1.0
3.0,7454.0,41.89,85.9,143.0,Sri Lanka,Sharjah,127.0,29.0,2.0,141.0,8.0,860,1.0
118.0,7457.0,42.55,86.14,143.0,Zimbabwe,Sharjah,29.0,2.0,141.0,8.0,3.0,860,6.0
18.0,7575.0,42.41,86.07,143.0,Sri Lanka,Sharjah,2.0,141.0,8.0,3.0,118.0,885,1.0
11.0,7593.0,42.24,86.08,143.0,Zimbabwe,Sharjah,141.0,8.0,3.0,118.0,18.0,885,1.0
124.0,7604.0,42.93,86.58,143.0,Zimbabwe,Sharjah,8.0,3.0,118.0,18.0,11.0,885,6.0
0.0,7728.0,42.69,86.53,143.0,New Zealand,Taupo,3.0,118.0,18.0,11.0,124.0,910,1.0
23.0,7728.0,42.58,86.61,143.0,New Zealand,Napier,118.0,18.0,11.0,124.0,0.0,905,2.0
45.0,7751.0,42.6,86.7,143.0,New Zealand,Wellington,18.0,11.0,124.0,0.0,23.0,905,3.0
5.0,7796.0,42.39,86.64,143.0,New Zealand,Auckland,11.0,124.0,0.0,23.0,45.0,905,1.0
28.0,7801.0,42.31,86.51,143.0,South Africa,Hove,124.0,0.0,23.0,45.0,5.0,905,2.0
140.0,7829.0,43.07,87.09,143.0,Kenya,Bristol,0.0,23.0,45.0,5.0,28.0,905,6.0
2.0,7969.0,42.85,87.08,143.0,Sri Lanka,Taunton,23.0,45.0,5.0,28.0,140.0,930,1.0
22.0,7971.0,42.74,86.94,143.0,England,Birmingham,45.0,5.0,28.0,140.0,2.0,930,2.0
0.0,7993.0,42.51,86.9,143.0,Australia,The Oval,5.0,28.0,140.0,2.0,22.0,930,1.0
45.0,7993.0,42.52,86.78,143.0,Pakistan,Manchester,28.0,140.0,2.0,22.0,0.0,925,3.0
16.0,8038.0,42.38,86.75,143.0,New Zealand,Nottingham,140.0,2.0,22.0,0.0,45.0,925,1.0
14.0,8054.0,42.24,86.59,143.0,Australia,Galle,2.0,22.0,0.0,45.0,16.0,925,1.0
37.0,8068.0,42.21,86.45,143.0,Sri Lanka,Colombo (RPS),22.0,0.0,45.0,16.0,14.0,925,2.0
120.0,8105.0,42.61,86.43,143.0,Sri Lanka,Colombo (SSC),0.0,45.0,16.0,14.0,37.0,925,6.0
85.0,8225.0,42.83,86.67,143.0,Zimbabwe,Singapore,45.0,16.0,14.0,37.0,120.0,945,5.0
40.0,8310.0,42.82,86.5,143.0,West Indies,Singapore,16.0,14.0,37.0,120.0,85.0,955,3.0
0.0,8350.0,42.6,86.44,143.0,West Indies,Singapore,14.0,37.0,120.0,85.0,40.0,955,1.0
32.0,8350.0,42.54,86.5,143.0,New Zealand,Rajkot,37.0,120.0,85.0,40.0,0.0,950,2.0
186.0,8382.0,43.49,87.07,186.0,New Zealand,Hyderabad (Deccan),120.0,85.0,40.0,0.0,32.0,950,6.0
1.0,8568.0,43.27,86.88,186.0,New Zealand,Gwalior,85.0,40.0,0.0,32.0,186.0,975,1.0
2.0,8569.0,43.07,86.81,186.0,New Zealand,Guwahati,40.0,0.0,32.0,186.0,1.0,975,1.0
0.0,8571.0,42.85,86.78,186.0,New Zealand,Delhi,0.0,32.0,186.0,1.0,2.0,975,1.0
13.0,8571.0,42.7,86.68,186.0,Pakistan,Brisbane,32.0,186.0,1.0,2.0,0.0,970,1.0
12.0,8584.0,42.55,86.71,186.0,Australia,Melbourne,186.0,1.0,2.0,0.0,13.0,970,1.0
1.0,8596.0,42.34,86.62,186.0,Australia,Sydney,1.0,2.0,0.0,13.0,12.0,970,1.0
93.0,8597.0,42.59,86.66,186.0,Pakistan,Hobart,2.0,0.0,13.0,12.0,1.0,970,5.0
41.0,8690.0,42.59,86.67,186.0,Pakistan,Adelaide,0.0,13.0,12.0,1.0,93.0,980,3.0
18.0,8731.0,42.47,86.61,186.0,Australia,Adelaide,13.0,12.0,1.0,93.0,41.0,980,1.0
17.0,8749.0,42.34,86.66,186.0,Pakistan,Perth,12.0,1.0,93.0,41.0,18.0,980,1.0
3.0,8766.0,42.15,86.51,186.0,Australia,Perth,1.0,93.0,41.0,18.0,17.0,980,1.0
26.0,8769.0,42.08,86.55,186.0,South Africa,Kochi,93.0,41.0,18.0,17.0,3.0,980,2.0
21.0,8795.0,41.98,86.49,186.0,South Africa,Jamshedpur,41.0,18.0,17.0,3.0,26.0,980,2.0
12.0,8816.0,41.83,86.37,186.0,South Africa,Faridabad,18.0,17.0,3.0,26.0,21.0,980,1.0
122.0,8828.0,42.21,86.4,186.0,South Africa,Vadodara,17.0,3.0,26.0,21.0,12.0,980,6.0
93.0,8950.0,42.45,86.56,186.0,South Africa,Nagpur,3.0,26.0,21.0,12.0,122.0,1000,5.0
5.0,9043.0,42.28,86.54,186.0,South Africa,Sharjah,26.0,21.0,12.0,122.0,93.0,1010,1.0
11.0,9048.0,42.13,86.41,186.0,Pakistan,Sharjah,21.0,12.0,122.0,93.0,5.0,1010,1.0
10.0,9059.0,41.98,86.36,186.0,Pakistan,Sharjah,12.0,122.0,93.0,5.0,11.0,1010,1.0
